position,strain,condition,M2exit,M3entry,M3exit,phenotype,valid,phen descrip,well,until
1,col-41,ethanol,0,0,0,0,0,empty,,
2,col-41,ethanol,14,63,76,0,1,,,
3,col-41,ethanol,0,0,0,0,0,2worms,,
4,col-41,ethanol,0,0,0,0,0,bubble,,
5,col-41,ethanol,9,53,66,0,1,,,
6,col-41,ethanol,0,0,0,0,0,empty,,
7,col-41,ethanol,10,58,80,0,1,,,
8,col-41,ethanol,15,59,73,0,1,,,
9,col-41,ethanol,10,57,70,0,1,,,
10,col-41,ethanol,19,68,82,0,1,,,
11,col-41,ethanol,16,61,74,0,1,,,
12,col-41,ethanol,13,59,73,0,1,,,
13,col-41,ethanol,10,57,70,0,1,,,
14,col-41,ethanol,0,0,0,0,0,M3 after,,
15,col-41,ethanol,13,63,77,0,1,,,
16,col-41,ethanol,18,65,78,0,1,,,
17,col-41,ethanol,8,53,66,0,1,,,
18,col-41,ethanol,21,68,82,0,1,,,
19,col-41,ethanol,19,68,82,0,1,,,
20,col-41,ethanol,12,58,71,0,1,,,
21,col-41,ethanol,9,55,69,0,1,,,
22,col-41,ethanol,0,0,0,0,0,empty,,
23,col-41,ethanol,12,57,70,0,1,,,
24,col-41,ethanol,13,56,69,0,1,,,
25,col-41,ethanol,28,79,95,0,1,,,
26,col-41,ethanol,0,0,0,0,0,empty,,
27,col-41,ethanol,18,64,78,0,1,,,
28,col-41,ethanol,0,0,0,0,0,sick,,
29,col-41,ethanol,11,57,71,0,1,,,
30,grh-1,ethanol,8,53,67,0,1,,,
31,grh-1,ethanol,0,0,0,0,0,M3 after,,
32,grh-1,ethanol,5,46,59,0,1,,,
33,grh-1,ethanol,7,52,66,0,1,,,
34,grh-1,ethanol,7,48,63,0,1,,,
35,grh-1,ethanol,4,47,58,0,1,,,
36,grh-1,ethanol,0,0,0,0,0,sick,,
37,grh-1,ethanol,14,56,69,0,1,,,
38,grh-1,ethanol,2,43,56,0,1,,,
39,grh-1,ethanol,7,49,62,0,1,,,
40,grh-1,ethanol,4,45,60,0,1,,,
41,grh-1,ethanol,0,0,0,0,0,sick,,
42,grh-1,ethanol,7,50,62,0,1,,,
43,grh-1,ethanol,21,81,92,0,1,,,
44,grh-1,ethanol,13,56,72,0,1,,,
45,grh-1,ethanol,18,61,72,0,1,,,
46,grh-1,ethanol,6,47,61,0,1,,,
47,grh-1,ethanol,21,60,74,0,1,,,
48,grh-1,ethanol,14,59,71,0,1,,,
49,grh-1,ethanol,7,49,62,0,1,,,
50,grh-1,ethanol,13,58,71,0,1,,,
51,grh-1,ethanol,7,50,62,0,1,,,
52,grh-1,ethanol,1,41,54,0,1,,,
53,grh-1,ethanol,5,46,59,0,1,,,
54,grh-1,ethanol,6,46,58,0,1,,,
55,grh-1,ethanol,5,45,59,0,1,,,
56,grh-1,ethanol,8,49,63,0,1,,,
57,grh-1,ethanol,7,48,63,0,1,,,
58,grh-1,ethanol,2,43,56,0,1,,,
59,col-41,auxin,0,0,0,0,0,M2 phenotype,,
60,col-41,auxin,12,57,0,71,1,L3 phenotype,,
61,col-41,auxin,23,0,0,0,1,longL3,,
62,col-41,auxin,18,69,0,90,1,L3 phenotype,,
63,col-41,auxin,10,57,0,75,1,L3 phenotype,,
64,col-41,auxin,14,68,0,92,1,L3 phenotype,,
65,col-41,auxin,0,0,0,0,0,M2 before,,
66,col-41,auxin,0,0,0,0,1,longL3,,
67,col-41,auxin,10,54,0,73,1,L3 phenotype,,
68,col-41,auxin,0,0,0,0,0,M2 phenotype,,
69,col-41,auxin,15,66,0,89,1,L3 phenotype,,
70,col-41,auxin,10,53,0,66,1,L3 phenotype,,
71,col-41,auxin,13,61,0,78,1,L3 phenotype,,
72,col-41,auxin,10,52,0,68,1,L3 phenotype,,
73,col-41,auxin,15,81,0,98,1,L3 phenotype,,
74,col-41,auxin,23,0,0,0,1,longL3,,
75,col-41,auxin,16,63,0,80,1,L3 phenotype,,
76,col-41,auxin,6,47,0,65,1,L3 phenotype,,
77,col-41,auxin,17,62,0,80,1,L3 phenotype,,
78,col-41,auxin,18,74,0,92,1,L3 phenotype,,
79,col-41,auxin,0,0,0,0,0,dead,,
80,col-41,auxin,0,0,0,0,0,dead,,
81,col-41,auxin,0,0,0,0,1,longL3,,
82,col-41,auxin,22,0,0,0,1,longL3,,
83,col-41,auxin,19,76,0,98,1,L3 phenotype,,
84,col-41,auxin,0,0,0,0,0,dead,,
85,col-41,auxin,19,74,0,89,1,L3 phenotype,,
86,col-41,auxin,11,51,0,70,1,L3 phenotype,,
87,col-41,auxin,17,62,0,85,1,L3 phenotype,,
88,grh-1,auxin,11,55,0,71,1,L3 phenotype,,
89,grh-1,auxin,3,49,0,65,1,L3 phenotype,,
90,grh-1,auxin,0,0,0,0,1,longL3,,
91,grh-1,auxin,18,47,0,64,1,L3 phenotype,,
92,grh-1,auxin,11,54,0,100,1,L3 phenotype,,
93,grh-1,auxin,13,66,0,80,1,L3 phenotype,,
94,grh-1,auxin,11,63,0,76,1,L3 phenotype,,
95,grh-1,auxin,12,60,0,80,1,L3 phenotype,,
96,grh-1,auxin,11,61,0,87,1,L3 phenotype,,
97,grh-1,auxin,5,51,0,67,1,L3 phenotype,,
98,grh-1,auxin,10,62,0,77,1,L3 phenotype,,
99,grh-1,auxin,0,0,0,0,0,bubble,,
100,grh-1,auxin,12,60,0,76,1,L3 phenotype,,
101,grh-1,auxin,15,65,0,81,1,L3 phenotype,,
102,grh-1,auxin,6,54,0,74,1,L3 phenotype,,
103,grh-1,auxin,10,55,0,72,1,L3 phenotype,,
104,grh-1,auxin,9,55,0,71,1,L3 phenotype,,
105,grh-1,auxin,21,0,0,0,1,longL3,,
106,grh-1,auxin,10,54,0,71,1,L3 phenotype,,
107,grh-1,auxin,9,52,0,68,1,L3 phenotype,,
108,grh-1,auxin,0,0,0,0,1,longL3,,
109,grh-1,auxin,25,0,0,0,1,longL3,,
110,grh-1,auxin,16,68,0,83,1,L3 phenotype,,
111,grh-1,auxin,7,51,0,67,1,L3 phenotype,,
112,grh-1,auxin,21,0,0,0,1,longL3,,
113,grh-1,auxin,10,56,0,75,1,L3 phenotype,,
114,grh-1,auxin,13,60,0,86,1,L3 phenotype,,
115,grh-1,auxin,9,52,0,67,1,L3 phenotype,,
116,grh-1,auxin,7,53,0,69,1,L3 phenotype,,
